表章項目,年齢5歳階級,男女別,全国・都道府県,時間軸（年月日現在）,@unit,$
人口,総数,女,高知県,2022年10月1日現在,人,356122
人口,総数,女,福岡県,2022年10月1日現在,人,2693319
人口,総数,女,佐賀県,2022年10月1日現在,人,420870
人口,総数,女,長崎県,2022年10月1日現在,人,679238
人口,総数,女,熊本県,2022年10月1日現在,人,904042
人口,総数,女,大分県,2022年10月1日現在,人,580599
人口,総数,女,宮崎県,2022年10月1日現在,人,555185
人口,総数,女,鹿児島県,2022年10月1日現在,人,824700
人口,総数,女,沖縄県,2022年10月1日現在,人,745542
人口,0～4歳,男女計,全国,2022年10月1日現在,人,4247017
人口,0～4歳,男女計,北海道,2022年10月1日現在,人,149871
人口,0～4歳,男女計,青森県,2022年10月1日現在,人,34041
人口,0～4歳,男女計,岩手県,2022年10月1日現在,人,33710
人口,0～4歳,男女計,宮城県,2022年10月1日現在,人,72865
人口,0～4歳,男女計,秋田県,2022年10月1日現在,人,22831
人口,0～4歳,男女計,山形県,2022年10月1日現在,人,31334
人口,0～4歳,男女計,福島県,2022年10月1日現在,人,55332
人口,0～4歳,男女計,茨城県,2022年10月1日現在,人,90016
人口,0～4歳,男女計,栃木県,2022年10月1日現在,人,60554
人口,0～4歳,男女計,群馬県,2022年10月1日現在,人,60979
人口,0～4歳,男女計,埼玉県,2022年10月1日現在,人,249005
人口,0～4歳,男女計,千葉県,2022年10月1日現在,人,211529
人口,0～4歳,男女計,東京都,2022年10月1日現在,人,479711
人口,0～4歳,男女計,神奈川県,2022年10月1日現在,人,312159
人口,0～4歳,男女計,新潟県,2022年10月1日現在,人,65349
人口,0～4歳,男女計,富山県,2022年10月1日現在,人,32236
人口,0～4歳,男女計,石川県,2022年10月1日現在,人,38109
人口,0～4歳,男女計,福井県,2022年10月1日現在,人,26542
人口,0～4歳,男女計,山梨県,2022年10月1日現在,人,26119
人口,0～4歳,男女計,長野県,2022年10月1日現在,人,66740
人口,0～4歳,男女計,岐阜県,2022年10月1日現在,人,64262
人口,0～4歳,男女計,静岡県,2022年10月1日現在,人,116279
人口,0～4歳,男女計,愛知県,2022年10月1日現在,人,282026
人口,0～4歳,男女計,三重県,2022年10月1日現在,人,58083
人口,0～4歳,男女計,滋賀県,2022年10月1日現在,人,54125
人口,0～4歳,男女計,京都府,2022年10月1日現在,人,81823
人口,0～4歳,男女計,大阪府,2022年10月1日現在,人,304134
人口,0～4歳,男女計,兵庫県,2022年10月1日現在,人,186354
人口,0～4歳,男女計,奈良県,2022年10月1日現在,人,41710
人口,0～4歳,男女計,和歌山県,2022年10月1日現在,人,28748
人口,0～4歳,男女計,鳥取県,2022年10月1日現在,人,19506
人口,0～4歳,男女計,島根県,2022年10月1日現在,人,22861
人口,0～4歳,男女計,岡山県,2022年10月1日現在,人,66548
人口,0～4歳,男女計,広島県,2022年10月1日現在,人,97803
人口,0～4歳,男女計,山口県,2022年10月1日現在,人,41649
人口,0～4歳,男女計,徳島県,2022年10月1日現在,人,21848
人口,0～4歳,男女計,香川県,2022年10月1日現在,人,31593
人口,0～4歳,男女計,愛媛県,2022年10月1日現在,人,40944
人口,0～4歳,男女計,高知県,2022年10月1日現在,人,20559
人口,0～4歳,男女計,福岡県,2022年10月1日現在,人,195941
人口,0～4歳,男女計,佐賀県,2022年10月1日現在,人,30802
人口,0～4歳,男女計,長崎県,2022年10月1日現在,人,45607
人口,0～4歳,男女計,熊本県,2022年10月1日現在,人,65541
人口,0～4歳,男女計,大分県,2022年10月1日現在,人,37561
人口,0～4歳,男女計,宮崎県,2022年10月1日現在,人,39190
人口,0～4歳,男女計,鹿児島県,2022年10月1日現在,人,58355
人口,0～4歳,男女計,沖縄県,2022年10月1日現在,人,74133
人口,0～4歳,男,全国,2022年10月1日現在,人,2173953
人口,0～4歳,男,北海道,2022年10月1日現在,人,76671
人口,0～4歳,男,青森県,2022年10月1日現在,人,17483
人口,0～4歳,男,岩手県,2022年10月1日現在,人,17211
人口,0～4歳,男,宮城県,2022年10月1日現在,人,37133
人口,0～4歳,男,秋田県,2022年10月1日現在,人,11686
人口,0～4歳,男,山形県,2022年10月1日現在,人,16142
人口,0～4歳,男,福島県,2022年10月1日現在,人,28025
人口,0～4歳,男,茨城県,2022年10月1日現在,人,46015
人口,0～4歳,男,栃木県,2022年10月1日現在,人,31314
人口,0～4歳,男,群馬県,2022年10月1日現在,人,31326
人口,0～4歳,男,埼玉県,2022年10月1日現在,人,127603
人口,0～4歳,男,千葉県,2022年10月1日現在,人,108145
人口,0～4歳,男,東京都,2022年10月1日現在,人,245463
人口,0～4歳,男,神奈川県,2022年10月1日現在,人,159754
人口,0～4歳,男,新潟県,2022年10月1日現在,人,33313
人口,0～4歳,男,富山県,2022年10月1日現在,人,16558
人口,0～4歳,男,石川県,2022年10月1日現在,人,19487
人口,0～4歳,男,福井県,2022年10月1日現在,人,13606
人口,0～4歳,男,山梨県,2022年10月1日現在,人,13249
人口,0～4歳,男,長野県,2022年10月1日現在,人,34248
人口,0～4歳,男,岐阜県,2022年10月1日現在,人,32801
人口,0～4歳,男,静岡県,2022年10月1日現在,人,59751
人口,0～4歳,男,愛知県,2022年10月1日現在,人,144801
人口,0～4歳,男,三重県,2022年10月1日現在,人,29878
人口,0～4歳,男,滋賀県,2022年10月1日現在,人,27828
人口,0～4歳,男,京都府,2022年10月1日現在,人,41957
人口,0～4歳,男,大阪府,2022年10月1日現在,人,155869
人口,0～4歳,男,兵庫県,2022年10月1日現在,人,95190
人口,0～4歳,男,奈良県,2022年10月1日現在,人,21429
人口,0～4歳,男,和歌山県,2022年10月1日現在,人,14775
人口,0～4歳,男,鳥取県,2022年10月1日現在,人,10130
人口,0～4歳,男,島根県,2022年10月1日現在,人,11641
人口,0～4歳,男,岡山県,2022年10月1日現在,人,34159
人口,0～4歳,男,広島県,2022年10月1日現在,人,50206
人口,0～4歳,男,山口県,2022年10月1日現在,人,21280
人口,0～4歳,男,徳島県,2022年10月1日現在,人,11266
人口,0～4歳,男,香川県,2022年10月1日現在,人,16087
人口,0～4歳,男,愛媛県,2022年10月1日現在,人,20945
人口,0～4歳,男,高知県,2022年10月1日現在,人,10497
人口,0～4歳,男,福岡県,2022年10月1日現在,人,99722
人口,0～4歳,男,佐賀県,2022年10月1日現在,人,15771
人口,0～4歳,男,長崎県,2022年10月1日現在,人,23333
人口,0～4歳,男,熊本県,2022年10月1日現在,人,33247
人口,0～4歳,男,大分県,2022年10月1日現在,人,19097
人口,0～4歳,男,宮崎県,2022年10月1日現在,人,20044
人口,0～4歳,男,鹿児島県,2022年10月1日現在,人,29709
人口,0～4歳,男,沖縄県,2022年10月1日現在,人,38108
人口,0～4歳,女,全国,2022年10月1日現在,人,2073064
人口,0～4歳,女,北海道,2022年10月1日現在,人,73200
人口,0～4歳,女,青森県,2022年10月1日現在,人,16558
人口,0～4歳,女,岩手県,2022年10月1日現在,人,16499
人口,0～4歳,女,宮城県,2022年10月1日現在,人,35732
人口,0～4歳,女,秋田県,2022年10月1日現在,人,11145
人口,0～4歳,女,山形県,2022年10月1日現在,人,15192
人口,0～4歳,女,福島県,2022年10月1日現在,人,27307
人口,0～4歳,女,茨城県,2022年10月1日現在,人,44001
人口,0～4歳,女,栃木県,2022年10月1日現在,人,29240
人口,0～4歳,女,群馬県,2022年10月1日現在,人,29653
人口,0～4歳,女,埼玉県,2022年10月1日現在,人,121402
人口,0～4歳,女,千葉県,2022年10月1日現在,人,103384
人口,0～4歳,女,東京都,2022年10月1日現在,人,234248
人口,0～4歳,女,神奈川県,2022年10月1日現在,人,152405
人口,0～4歳,女,新潟県,2022年10月1日現在,人,32036
人口,0～4歳,女,富山県,2022年10月1日現在,人,15678
人口,0～4歳,女,石川県,2022年10月1日現在,人,18622
人口,0～4歳,女,福井県,2022年10月1日現在,人,12936
人口,0～4歳,女,山梨県,2022年10月1日現在,人,12870
人口,0～4歳,女,長野県,2022年10月1日現在,人,32492
人口,0～4歳,女,岐阜県,2022年10月1日現在,人,31461
人口,0～4歳,女,静岡県,2022年10月1日現在,人,56528
人口,0～4歳,女,愛知県,2022年10月1日現在,人,137225
人口,0～4歳,女,三重県,2022年10月1日現在,人,28205
人口,0～4歳,女,滋賀県,2022年10月1日現在,人,26297
人口,0～4歳,女,京都府,2022年10月1日現在,人,39866
人口,0～4歳,女,大阪府,2022年10月1日現在,人,148265
人口,0～4歳,女,兵庫県,2022年10月1日現在,人,91164
人口,0～4歳,女,奈良県,2022年10月1日現在,人,20281
人口,0～4歳,女,和歌山県,2022年10月1日現在,人,13973
人口,0～4歳,女,鳥取県,2022年10月1日現在,人,9376
人口,0～4歳,女,島根県,2022年10月1日現在,人,11220
人口,0～4歳,女,岡山県,2022年10月1日現在,人,32389
人口,0～4歳,女,広島県,2022年10月1日現在,人,47597
人口,0～4歳,女,山口県,2022年10月1日現在,人,20369
人口,0～4歳,女,徳島県,2022年10月1日現在,人,10582
人口,0～4歳,女,香川県,2022年10月1日現在,人,15506
人口,0～4歳,女,愛媛県,2022年10月1日現在,人,19999
人口,0～4歳,女,高知県,2022年10月1日現在,人,10062
人口,0～4歳,女,福岡県,2022年10月1日現在,人,96219
人口,0～4歳,女,佐賀県,2022年10月1日現在,人,15031
人口,0～4歳,女,長崎県,2022年10月1日現在,人,22274
人口,0～4歳,女,熊本県,2022年10月1日現在,人,32294
人口,0～4歳,女,大分県,2022年10月1日現在,人,18464
人口,0～4歳,女,宮崎県,2022年10月1日現在,人,19146
人口,0～4歳,女,鹿児島県,2022年10月1日現在,人,28646
人口,0～4歳,女,沖縄県,2022年10月1日現在,人,36025
人口,5～9歳,男女計,全国,2022年10月1日現在,人,4947992
人口,5～9歳,男女計,北海道,2022年10月1日現在,人,180900
人口,5～9歳,男女計,青森県,2022年10月1日現在,人,42046
人口,5～9歳,男女計,岩手県,2022年10月1日現在,人,42864
人口,5～9歳,男女計,宮城県,2022年10月1日現在,人,89108
人口,5～9歳,男女計,秋田県,2022年10月1日現在,人,29310
人口,5～9歳,男女計,山形県,2022年10月1日現在,人,38674
人口,5～9歳,男女計,福島県,2022年10月1日現在,人,68658
人口,5～9歳,男女計,茨城県,2022年10月1日現在,人,109488
人口,5～9歳,男女計,栃木県,2022年10月1日現在,人,74392
人口,5～9歳,男女計,群馬県,2022年10月1日現在,人,72643
人口,5～9歳,男女計,埼玉県,2022年10月1日現在,人,289567
人口,5～9歳,男女計,千葉県,2022年10月1日現在,人,243540
人口,5～9歳,男女計,東京都,2022年10月1日現在,人,532611
人口,5～9歳,男女計,神奈川県,2022年10月1日現在,人,358708
人口,5～9歳,男女計,新潟県,2022年10月1日現在,人,80315
人口,5～9歳,男女計,富山県,2022年10月1日現在,人,37512
人口,5～9歳,男女計,石川県,2022年10月1日現在,人,44911
人口,5～9歳,男女計,福井県,2022年10月1日現在,人,30705
人口,5～9歳,男女計,山梨県,2022年10月1日現在,人,30113
人口,5～9歳,男女計,長野県,2022年10月1日現在,人,79491
人口,5～9歳,男女計,岐阜県,2022年10月1日現在,人,78219
人口,5～9歳,男女計,静岡県,2022年10月1日現在,人,142305
人口,5～9歳,男女計,愛知県,2022年10月1日現在,人,321861
人口,5～9歳,男女計,三重県,2022年10月1日現在,人,68674
人口,5～9歳,男女計,滋賀県,2022年10月1日現在,人,63601
人口,5～9歳,男女計,京都府,2022年10月1日現在,人,96071
人口,5～9歳,男女計,大阪府,2022年10月1日現在,人,336216
人口,5～9歳,男女計,兵庫県,2022年10月1日現在,人,219256
人口,5～9歳,男女計,奈良県,2022年10月1日現在,人,50612
人口,5～9歳,男女計,和歌山県,2022年10月1日現在,人,34446
人口,5～9歳,男女計,鳥取県,2022年10月1日現在,人,22643
人口,5～9歳,男女計,島根県,2022年10月1日現在,人,27249
人口,5～9歳,男女計,岡山県,2022年10月1日現在,人,76430
人口,5～9歳,男女計,広島県,2022年10月1日現在,人,116081
人口,5～9歳,男女計,山口県,2022年10月1日現在,人,49792
人口,5～9歳,男女計,徳島県,2022年10月1日現在,人,25606
人口,5～9歳,男女計,香川県,2022年10月1日現在,人,37544
人口,5～9歳,男女計,愛媛県,2022年10月1日現在,人,50074
人口,5～9歳,男女計,高知県,2022年10月1日現在,人,24476
人口,5～9歳,男女計,福岡県,2022年10月1日現在,人,223844
人口,5～9歳,男女計,佐賀県,2022年10月1日現在,人,35691
人口,5～9歳,男女計,長崎県,2022年10月1日現在,人,54048
人口,5～9歳,男女計,熊本県,2022年10月1日現在,人,76339
人口,5～9歳,男女計,大分県,2022年10月1日現在,人,44568
人口,5～9歳,男女計,宮崎県,2022年10月1日現在,人,46047
人口,5～9歳,男女計,鹿児島県,2022年10月1日現在,人,68640
人口,5～9歳,男女計,沖縄県,2022年10月1日現在,人,82103
人口,5～9歳,男,全国,2022年10月1日現在,人,2534562
人口,5～9歳,男,北海道,2022年10月1日現在,人,92589
人口,5～9歳,男,青森県,2022年10月1日現在,人,21489
人口,5～9歳,男,岩手県,2022年10月1日現在,人,21948
人口,5～9歳,男,宮城県,2022年10月1日現在,人,45922
人口,5～9歳,男,秋田県,2022年10月1日現在,人,14983
人口,5～9歳,男,山形県,2022年10月1日現在,人,19784
人口,5～9歳,男,福島県,2022年10月1日現在,人,35068
人口,5～9歳,男,茨城県,2022年10月1日現在,人,56181
人口,5～9歳,男,栃木県,2022年10月1日現在,人,38212
人口,5～9歳,男,群馬県,2022年10月1日現在,人,37070
人口,5～9歳,男,埼玉県,2022年10月1日現在,人,148053
人口,5～9歳,男,千葉県,2022年10月1日現在,人,124842
人口,5～9歳,男,東京都,2022年10月1日現在,人,271731
人口,5～9歳,男,神奈川県,2022年10月1日現在,人,183818
人口,5～9歳,男,新潟県,2022年10月1日現在,人,41277
人口,5～9歳,男,富山県,2022年10月1日現在,人,19260
人口,5～9歳,男,石川県,2022年10月1日現在,人,23134
人口,5～9歳,男,福井県,2022年10月1日現在,人,15836
人口,5～9歳,男,山梨県,2022年10月1日現在,人,15316
人口,5～9歳,男,長野県,2022年10月1日現在,人,40822
人口,5～9歳,男,岐阜県,2022年10月1日現在,人,40128
人口,5～9歳,男,静岡県,2022年10月1日現在,人,73312
人口,5～9歳,男,愛知県,2022年10月1日現在,人,164997
人口,5～9歳,男,三重県,2022年10月1日現在,人,35086
人口,5～9歳,男,滋賀県,2022年10月1日現在,人,32658
人口,5～9歳,男,京都府,2022年10月1日現在,人,49223
人口,5～9歳,男,大阪府,2022年10月1日現在,人,171732
人口,5～9歳,男,兵庫県,2022年10月1日現在,人,112464
人口,5～9歳,男,奈良県,2022年10月1日現在,人,25827
人口,5～9歳,男,和歌山県,2022年10月1日現在,人,17600
人口,5～9歳,男,鳥取県,2022年10月1日現在,人,11645
人口,5～9歳,男,島根県,2022年10月1日現在,人,14080
人口,5～9歳,男,岡山県,2022年10月1日現在,人,39187
人口,5～9歳,男,広島県,2022年10月1日現在,人,59243
人口,5～9歳,男,山口県,2022年10月1日現在,人,25807
人口,5～9歳,男,徳島県,2022年10月1日現在,人,13209
人口,5～9歳,男,香川県,2022年10月1日現在,人,19376
人口,5～9歳,男,愛媛県,2022年10月1日現在,人,25745
人口,5～9歳,男,高知県,2022年10月1日現在,人,12445
人口,5～9歳,男,福岡県,2022年10月1日現在,人,114852
人口,5～9歳,男,佐賀県,2022年10月1日現在,人,18349
人口,5～9歳,男,長崎県,2022年10月1日現在,人,27711
人口,5～9歳,男,熊本県,2022年10月1日現在,人,39022
人口,5～9歳,男,大分県,2022年10月1日現在,人,22852
人口,5～9歳,男,宮崎県,2022年10月1日現在,人,23446
人口,5～9歳,男,鹿児島県,2022年10月1日現在,人,35351
人口,5～9歳,男,沖縄県,2022年10月1日現在,人,41880
人口,5～9歳,女,全国,2022年10月1日現在,人,2413430
人口,5～9歳,女,北海道,2022年10月1日現在,人,88311
人口,5～9歳,女,青森県,2022年10月1日現在,人,20557
人口,5～9歳,女,岩手県,2022年10月1日現在,人,20916
人口,5～9歳,女,宮城県,2022年10月1日現在,人,43186
人口,5～9歳,女,秋田県,2022年10月1日現在,人,14327
人口,5～9歳,女,山形県,2022年10月1日現在,人,18890
人口,5～9歳,女,福島県,2022年10月1日現在,人,33590
人口,5～9歳,女,茨城県,2022年10月1日現在,人,53307
人口,5～9歳,女,栃木県,2022年10月1日現在,人,36180
人口,5～9歳,女,群馬県,2022年10月1日現在,人,35573
人口,5～9歳,女,埼玉県,2022年10月1日現在,人,141514
人口,5～9歳,女,千葉県,2022年10月1日現在,人,118698
人口,5～9歳,女,東京都,2022年10月1日現在,人,260880
人口,5～9歳,女,神奈川県,2022年10月1日現在,人,174890
人口,5～9歳,女,新潟県,2022年10月1日現在,人,39038
人口,5～9歳,女,富山県,2022年10月1日現在,人,18252
人口,5～9歳,女,石川県,2022年10月1日現在,人,21777
人口,5～9歳,女,福井県,2022年10月1日現在,人,14869
人口,5～9歳,女,山梨県,2022年10月1日現在,人,14797
人口,5～9歳,女,長野県,2022年10月1日現在,人,38669
人口,5～9歳,女,岐阜県,2022年10月1日現在,人,38091
人口,5～9歳,女,静岡県,2022年10月1日現在,人,68993
人口,5～9歳,女,愛知県,2022年10月1日現在,人,156864
人口,5～9歳,女,三重県,2022年10月1日現在,人,33588
人口,5～9歳,女,滋賀県,2022年10月1日現在,人,30943
人口,5～9歳,女,京都府,2022年10月1日現在,人,46848
人口,5～9歳,女,大阪府,2022年10月1日現在,人,164484
人口,5～9歳,女,兵庫県,2022年10月1日現在,人,106792
人口,5～9歳,女,奈良県,2022年10月1日現在,人,24785
人口,5～9歳,女,和歌山県,2022年10月1日現在,人,16846
人口,5～9歳,女,鳥取県,2022年10月1日現在,人,10998
人口,5～9歳,女,島根県,2022年10月1日現在,人,13169
人口,5～9歳,女,岡山県,2022年10月1日現在,人,37243
人口,5～9歳,女,広島県,2022年10月1日現在,人,56838
人口,5～9歳,女,山口県,2022年10月1日現在,人,23985
人口,5～9歳,女,徳島県,2022年10月1日現在,人,12397
人口,5～9歳,女,香川県,2022年10月1日現在,人,18168
人口,5～9歳,女,愛媛県,2022年10月1日現在,人,24329
人口,5～9歳,女,高知県,2022年10月1日現在,人,12031
人口,5～9歳,女,福岡県,2022年10月1日現在,人,108992
人口,5～9歳,女,佐賀県,2022年10月1日現在,人,17342
人口,5～9歳,女,長崎県,2022年10月1日現在,人,26337
人口,5～9歳,女,熊本県,2022年10月1日現在,人,37317
人口,5～9歳,女,大分県,2022年10月1日現在,人,21716
人口,5～9歳,女,宮崎県,2022年10月1日現在,人,22601
人口,5～9歳,女,鹿児島県,2022年10月1日現在,人,33289
人口,5～9歳,女,沖縄県,2022年10月1日現在,人,40223
人口,10～14歳,男女計,全国,2022年10月1日現在,人,5307628
人口,10～14歳,男女計,北海道,2022年10月1日現在,人,199228
人口,10～14歳,男女計,青森県,2022年10月1日現在,人,46618
人口,10～14歳,男女計,岩手県,2022年10月1日現在,人,48202
人口,10～14歳,男女計,宮城県,2022年10月1日現在,人,95817
人口,10～14歳,男女計,秋田県,2022年10月1日現在,人,34335
人口,10～14歳,男女計,山形県,2022年10月1日現在,人,43452
人口,10～14歳,男女計,福島県,2022年10月1日現在,人,72611
人口,10～14歳,男女計,茨城県,2022年10月1日現在,人,121104
人口,10～14歳,男女計,栃木県,2022年10月1日現在,人,81843
人口,10～14歳,男女計,群馬県,2022年10月1日現在,人,82114
人口,10～14歳,男女計,埼玉県,2022年10月1日現在,人,308183
人口,10～14歳,男女計,千葉県,2022年10月1日現在,人,261584
人口,10～14歳,男女計,東京都,2022年10月1日現在,人,522316
人口,10～14歳,男女計,神奈川県,2022年10月1日現在,人,382018
人口,10～14歳,男女計,新潟県,2022年10月1日現在,人,89350
人口,10～14歳,男女計,富山県,2022年10月1日現在,人,41500
人口,10～14歳,男女計,石川県,2022年10月1日現在,人,48632
人口,10～14歳,男女計,福井県,2022年10月1日現在,人,34365
